"time","wallTime","wc2.out","wc1.out"
0.477,1.68864,-0.6885,-0.597145
0.478,1.68867,-0.713865,-0.609564
0.479,1.6887,-0.73923,-0.621984
0.48,1.68908,-0.764595,-0.634403
0.481,1.68912,-0.790037,-0.646582
0.482,1.68915,-0.815479,-0.658761
0.483,1.68918,-0.840921,-0.670939
0.484,1.68922,-0.866363,-0.683118
0.485,1.68961,-0.891805,-0.695297
0.486,1.68964,-0.917186,-0.707165
0.487,1.68968,-0.942567,-0.719034
0.488,1.68973,-0.967948,-0.730902
0.489,1.68976,-0.993328,-0.742771
0.49,1.68979,-1.01871,-0.754639
0.491,1.69015,-1.04389,-0.766129
0.492,1.69018,-1.06907,-0.777619
0.493,1.69021,-1.09425,-0.78911
0.494,1.69025,-1.11943,-0.8006
0.495,1.69028,-1.14461,-0.81209
0.496,1.69066,-1.16945,-0.823136
0.497,1.69071,-1.19429,-0.834182
0.498,1.69074,-1.21913,-0.845227
0.499,1.69077,-1.24397,-0.856273
0.5,1.6908,-1.26881,-0.867319
0.501,1.69118,-1.29316,-0.877857
0.502,1.69121,-1.31752,-0.888395
0.503,1.69125,-1.34188,-0.898933
0.504,1.69128,-1.36624,-0.909471
0.505,1.69131,-1.39059,-0.920009
0.506,1.69169,-1.41433,-0.929978
0.507,1.69172,-1.43807,-0.939948
0.508,1.69176,-1.4618,-0.949918
0.509,1.69179,-1.48554,-0.959887
0.51,1.69184,-1.50928,-0.969857
0.511,1.69221,-1.53226,-0.979202
0.512,1.69225,-1.55524,-0.988546
0.513,1.69228,-1.57822,-0.997891
0.514,1.69231,-1.6012,-1.00724
0.515,1.69234,-1.62418,-1.01658
0.516,1.69272,-1.64627,-1.02525
0.517,1.69276,-1.66836,-1.03391
0.518,1.69279,-1.69045,-1.04258
0.519,1.69282,-1.71255,-1.05125
0.52,1.69285,-1.73464,-1.05991
0.521,1.69326,-1.75571,-1.06786
0.522,1.6933,-1.77679,-1.0758
0.523,1.69333,-1.79787,-1.08374
0.524,1.69336,-1.81894,-1.09168
0.525,1.69339,-1.84002,-1.09962
0.526,1.69376,-1.85996,-1.10679
0.527,1.69383,-1.8799,-1.11397
0.528,1.69387,-1.89984,-1.12114
0.529,1.6939,-1.91977,-1.12831
0.53,1.69394,-1.93971,-1.13548
0.531,1.69432,-1.9584,-1.14185
0.532,1.69436,-1.97709,-1.14822
0.533,1.69439,-1.99578,-1.15458
0.534,1.69442,-2.01447,-1.16095
0.535,1.69445,-2.03316,-1.16732
0.536,1.69484,-2.05049,-1.17284
0.537,1.69487,-2.06783,-1.17837
0.538,1.6949,-2.08516,-1.1839
0.539,1.69495,-2.1025,-1.18943
0.54,1.69498,-2.11983,-1.19496
