"time","wallTime","source2.y","source1.y","adder.y"
0.5499,0.863682,0.522602,0.522602,1.04512
0.55,0.863706,0.522687,0.522687,1.04529
0.5501,0.86373,0.522772,0.522772,1.04546
0.5502,0.863751,0.522858,0.522858,1.04563
0.5503,0.863774,0.522943,0.522943,1.0458
0.5504,0.863794,0.523028,0.523028,1.04597
0.5505,0.863817,0.523113,0.523113,1.04614
0.5506,0.863835,0.523199,0.523199,1.04631
0.5507,0.863857,0.523284,0.523284,1.04648
0.5508,0.863877,0.523369,0.523369,1.04665
0.5509,0.8639,0.523454,0.523454,1.04682
0.551,0.86392,0.523539,0.523539,1.04699
0.5511,0.863943,0.523625,0.523625,1.04716
0.5512,0.863964,0.52371,0.52371,1.04733
0.5513,0.863985,0.523795,0.523795,1.0475
0.5514,0.864007,0.52388,0.52388,1.04768
0.5515,0.864034,0.523965,0.523965,1.04785
0.5516,0.864054,0.524051,0.524051,1.04802
0.5517,0.864076,0.524136,0.524136,1.04819
0.5518,0.864096,0.524221,0.524221,1.04836
0.5519,0.864117,0.524306,0.524306,1.04853
0.552,0.86414,0.524391,0.524391,1.0487
0.5521,0.864162,0.524476,0.524476,1.04887
0.5522,0.864182,0.524562,0.524562,1.04904
0.5523,0.864205,0.524647,0.524647,1.04921
0.5524,0.864225,0.524732,0.524732,1.04938
0.5525,0.864247,0.524817,0.524817,1.04955
0.5526,0.864269,0.524902,0.524902,1.04972
0.5527,0.864288,0.524987,0.524987,1.04989
0.5528,0.86431,0.525072,0.525072,1.05006
0.5529,0.864331,0.525157,0.525157,1.05023
0.553,0.864354,0.525242,0.525242,1.0504
0.5531,0.864376,0.525328,0.525328,1.05057
0.5532,0.864397,0.525413,0.525413,1.05074
0.5533,0.864419,0.525498,0.525498,1.05091
0.5534,0.86444,0.525583,0.525583,1.05108
0.5535,0.86446,0.525668,0.525668,1.05125
0.5536,0.864485,0.525753,0.525753,1.05142
0.5537,0.864505,0.525838,0.525838,1.05159
0.5538,0.864526,0.525923,0.525923,1.05176
0.5539,0.864547,0.526008,0.526008,1.05193
0.554,0.864567,0.526093,0.526093,1.0521
0.5541,0.86459,0.526178,0.526178,1.05227
0.5542,0.86461,0.526263,0.526263,1.05244
0.5543,0.864631,0.526348,0.526348,1.05261
0.5544,0.864654,0.526433,0.526433,1.05278
0.5545,0.864677,0.526518,0.526518,1.05295
0.5546,0.864697,0.526603,0.526603,1.05312
0.5547,0.864719,0.526688,0.526688,1.05329
0.5548,0.864739,0.526773,0.526773,1.05346
0.5549,0.864759,0.526858,0.526858,1.05363
0.555,0.864782,0.526943,0.526943,1.0538
0.5551,0.864804,0.527028,0.527028,1.05397
0.5552,0.864827,0.527113,0.527113,1.05414
0.5553,0.864848,0.527198,0.527198,1.05431
0.5554,0.864867,0.527283,0.527283,1.05448
0.5555,0.86489,0.527368,0.527368,1.05465
0.5556,0.86491,0.527453,0.527453,1.05482
0.5557,0.864932,0.527538,0.527538,1.05499
